,Rooms,Material,Total area,Live area,Kitchen,Toilet type,Price,Floor,TotalFloor
101,3,14,97.3,52.8,9.7,7,9800,5.0,5.0
102,3,14,63.0,46.0,6.0,7,9900,3.0,6.0
103,3,14,78.0,45.2,8.0,7,10000,2.0,7.0
104,3,26,70.4,40.4,8.6,7,10490,7.0,7.0
105,3,14,104.0,71.5,9.6,7,12500,5.0,5.0
106,3,27,104.0,60.0,13.0,7,13300,4.0,5.0
107,3,26,82.0,52.0,12.6,8,13500,4.0,4.0
108,3,27,110.0,67.3,11.0,0,15000,3.0,5.0
109,3,26,117.0,58.0,21.5,0,15000,6.0,7.0
110,3,26,101.0,59.0,12.0,7,17400,2.0,4.0
111,3,14,101.0,0.0,45.0,8,20000,2.0,4.0
112,3,24,165.0,93.0,27.0,1,24500,2.0,6.0
113,3,15,119.0,67.0,20.0,0,25000,3.0,6.0
114,3,15,127.1,0.0,0.0,0,32500,2.0,6.0
115,3,27,111.5,76.0,16.0,8,39999,5.0,5.0
116,3,15,149.1,0.0,0.0,0,46914,3.0,6.0
117,3,15,169.7,0.0,0.0,0,56211,3.0,6.0
118,3,26,280.0,0.0,100.0,1,140000,4.0,4.0
119,4,26,72.0,55.0,15.5,2,5600,4.0,4.0
120,4,27,87.0,52.0,16.0,7,5850,3.0,5.0
121,4,25,100.5,59.0,10.5,7,7700,4.0,6.0
122,4,14,88.2,62.0,10.4,5,7900,4.0,5.0
123,4,26,107.5,70.0,10.8,7,8500,3.0,6.0
124,4,27,90.5,65.0,9.4,7,8900,3.0,7.0
125,4,27,140.0,90.0,13.0,7,9000,4.0,6.0
126,4,26,105.0,77.0,11.9,7,9000,3.0,5.0
127,4,14,118.0,76.0,20.0,2,9200,6.0,6.0
128,4,27,96.0,69.0,11.0,7,9200,4.0,6.0
129,4,27,118.6,83.0,13.6,7,9500,1.0,4.0
130,4,26,110.9,49.0,13.6,7,10000,2.0,4.0
131,4,26,85.2,53.0,13.0,7,10300,4.0,7.0
132,4,14,112.0,66.0,10.0,7,10700,6.0,6.0
133,4,14,92.0,65.0,16.0,7,11000,2.0,5.0
134,4,27,138.5,98.0,18.0,7,15850,2.0,4.0
135,4,27,135.5,106.0,10.9,8,26000,4.0,5.0
136,4,27,172.0,106.0,16.0,8,62990,5.0,5.0
137,4,27,250.0,150.0,50.0,1,70000,5.0,6.0
138,5,27,100.6,65.0,9.7,7,8350,2.0,4.0
139,5,27,124.5,93.0,10.4,7,8400,2.0,5.0
140,5,27,114.2,77.0,21.0,7,9800,1.0,5.0
141,5,27,104.0,77.0,10.0,0,10699,2.0,3.0
142,5,26,155.0,110.0,15.0,0,11200,4.0,5.0
143,5,26,156.3,115.0,10.0,7,11500,3.0,5.0
144,5,26,145.0,98.0,14.0,7,12490,4.0,4.0
145,5,27,108.0,75.0,10.6,7,13000,2.0,5.0
146,5,26,126.1,92.0,18.3,7,15000,5.0,5.0
147,5,26,178.0,122.0,24.0,7,28999,4.0,5.0
148,5,26,244.0,150.0,24.2,0,33000,4.0,4.0
149,5,26,238.0,132.0,25.7,1,48000,1.0,5.0
150,5,15,230.8,0.0,0.0,0,145242,6.0,6.0
151,6,14,142.5,101.0,14.4,7,10800,3.0,3.0
152,6,26,182.0,139.0,15.0,7,13999,3.0,5.0
153,6,26,189.0,127.0,16.0,7,18500,2.0,6.0
154,6,26,154.0,103.0,12.6,2,22500,3.0,5.0
155,6,27,223.0,98.0,19.0,7,28888,2.0,4.0
156,10,26,281.0,0.0,0.0,2,18200,4.0,5.0
157,1,14,20.0,18.6,0.0,8,2300,5.0,10.0
158,1,14,22.0,18.0,0.0,8,2300,8.0,9.0
159,1,18,25.0,15.0,5.0,8,2499,11.0,17.0
160,1,14,26.0,20.5,0.0,8,2500,6.0,9.0
161,1,14,19.1,19.1,4.0,5,2550,8.0,10.0
162,1,15,25.0,16.2,0.0,8,2580,6.0,18.0
163,1,18,25.0,16.2,5.0,8,2725,11.0,18.0
164,1,18,37.0,0.0,10.0,8,3143,14.0,17.0
165,1,15,43.0,18.0,12.3,2,3200,3.0,17.0
166,1,15,38.0,20.0,9.0,8,3500,7.0,18.0
167,1,14,31.2,16.0,8.2,8,3540,1.0,9.0
168,1,15,42.6,17.0,10.9,2,3647,3.0,11.0
169,1,10,32.0,18.5,6.5,8,3690,1.0,10.0
170,1,14,34.0,18.0,6.0,7,3720,1.0,10.0
171,1,14,31.0,18.0,5.3,8,3760,3.0,5.0
172,1,14,34.0,22.0,6.0,7,3900,4.0,10.0
173,1,10,36.0,18.0,7.0,7,3980,3.0,9.0
174,1,14,32.1,16.2,8.5,8,4000,9.0,9.0
175,1,16,32.3,18.2,6.3,7,4050,5.0,9.0
176,1,2,39.4,20.8,7.0,7,4299,1.0,16.0
177,1,14,32.2,16.2,8.8,8,4350,7.0,9.0
178,1,14,35.7,19.0,6.5,2,4450,1.0,9.0
179,1,2,38.6,20.0,10.2,7,4500,3.0,12.0
180,1,14,33.3,0.0,7.0,7,4500,5.0,5.0
181,1,15,35.3,22.3,0.0,8,4667,5.0,11.0
182,1,15,40.0,17.0,10.5,8,4790,2.0,10.0
183,1,15,38.4,14.7,11.4,8,4860,7.0,13.0
184,1,14,47.0,24.0,7.4,7,5100,4.0,7.0
185,1,15,40.9,16.4,10.6,8,5125,5.0,11.0
186,1,15,41.8,14.3,11.4,8,5164,10.0,13.0
187,1,15,40.4,14.7,12.1,8,5166,10.0,13.0
188,1,14,37.0,16.0,8.0,7,5200,6.0,15.0
189,1,15,42.6,17.2,10.9,8,5210,3.0,11.0
190,1,15,42.7,14.1,11.7,8,5294,9.0,13.0
191,1,14,43.2,22.5,17.0,8,5300,8.0,16.0
192,1,15,42.0,19.0,12.0,7,5350,16.0,17.0
193,1,15,42.5,16.6,11.5,8,5361,10.0,13.0
194,1,15,36.4,12.7,9.8,5,5400,6.0,16.0
195,1,15,42.3,17.2,10.9,8,5483,8.0,11.0
196,1,14,41.0,15.0,11.5,8,5500,15.0,16.0
197,1,15,44.2,16.0,15.9,8,5537,3.0,13.0
198,1,14,52.4,27.0,13.0,2,5550,13.0,17.0
199,1,14,42.0,16.5,12.3,8,5600,10.0,16.0
200,1,15,49.8,23.7,0.0,8,5668,2.0,13.0
