,word,spam
0,great,1
1,parttime,1
2,summer,1
3,job,1
4,display,0
5,box,0
6,credit,0
7,application,0
8,need,1
9,place,1
10,small,1
11,owneroperate,0
12,store,0
13,area,0
14,here,1
15,introduce,0
16,yourself,1
17,store.1,1
18,owner,1
19,manager,0
20,our,1
21,effective,1
22,script,1
23,tell,1
24,little,1
25,display.1,0
26,box.1,1
27,save,1
28,customer,0
